customer_id,last_login,complaints,support_tickets,days_since_last_purchase,email_open_rate
CUST-10001,2026-08-27,4,2,106,0.547
CUST-10002,2026-09-06,0,0,48,0.425
CUST-10003,2026-09-07,1,0,72,0.782
CUST-10004,2026-08-19,0,0,17,0.512
CUST-10005,2026-08-07,1,0,36,0.564
CUST-10006,2026-08-26,0,1,19,0.495
CUST-10007,2026-09-01,0,0,702,0.13
CUST-10008,2026-09-03,7,1,81,0.66
CUST-10009,2026-09-07,1,2,36,0.904
CUST-10010,2026-07-30,0,3,23,0.4
CUST-10011,2026-09-01,1,3,14,0.597
CUST-10012,2026-08-23,3,6,192,0.385
CUST-10013,2026-09-06,1,1,463,0.614
CUST-10014,2026-09-03,4,1,173,0.637
CUST-10015,2026-09-07,0,0,30,0.674
CUST-10016,2026-08-12,1,0,12,0.914
CUST-10017,2026-09-07,0,1,22,0.402
CUST-10018,2026-09-02,1,4,12,0.201
CUST-10019,2026-08-29,1,0,23,0.293
CUST-10020,2026-08-09,2,2,44,0.415
CUST-10021,2026-07-13,1,0,83,0.193
CUST-10022,2026-08-17,6,0,26,0.411
CUST-10023,2026-09-04,0,2,18,0.457
CUST-10024,2026-07-19,0,1,66,0.259
CUST-10025,2026-09-05,0,1,84,0.706
CUST-10026,2026-09-04,0,0,69,0.709
CUST-10027,2026-09-04,0,0,34,0.71
CUST-10028,2026-08-22,0,2,88,0.295
CUST-10029,2026-09-06,1,0,105,0.483
CUST-10030,2026-08-16,1,2,96,0.472
CUST-10031,2026-09-04,0,1,84,0.552
CUST-10032,2026-09-03,0,1,161,0.687
CUST-10033,2026-09-06,2,0,24,0.555
CUST-10034,2026-09-07,2,0,26,0.812
CUST-10035,2026-09-06,0,0,20,0.877
CUST-10036,2026-07-04,0,0,11,0.723
CUST-10037,2026-09-01,0,0,109,0.704
CUST-10038,2026-09-03,1,3,331,0.414
CUST-10039,2026-09-07,0,0,85,0.474
CUST-10040,2026-08-25,0,1,76,0.192
CUST-10041,2026-09-01,0,1,14,0.47
CUST-10042,2026-08-26,1,2,142,0.636
CUST-10043,2026-08-29,4,2,48,0.711
CUST-10044,2026-08-28,2,0,13,0.688
CUST-10045,2026-09-02,0,0,34,0.764
CUST-10046,2026-09-01,0,0,60,0.451
CUST-10047,2026-08-29,0,0,58,0.383
CUST-10048,2026-08-18,1,0,144,0.603
CUST-10049,2026-08-31,0,0,79,0.344
CUST-10050,2026-09-05,0,1,18,0.607
CUST-10051,2026-08-31,0,3,140,0.671
CUST-10052,2026-09-03,0,1,64,0.335
CUST-10053,2026-09-02,0,1,63,0.815
CUST-10054,2026-08-30,0,0,29,0.646
CUST-10055,2026-08-30,0,0,14,0.478
CUST-10056,2026-08-02,2,1,36,0.525
CUST-10057,2026-09-04,0,1,134,0.539
CUST-10058,2026-08-25,0,1,90,0.404
CUST-10059,2026-08-30,1,0,92,0.78
CUST-10060,2026-08-25,2,1,22,0.602
CUST-10061,2026-09-04,2,0,32,0.527
CUST-10062,2026-08-25,2,0,13,0.825
CUST-10063,2026-08-10,1,0,42,0.63
CUST-10064,2026-08-29,0,0,22,0.304
CUST-10065,2026-08-23,0,1,38,0.63
CUST-10066,2026-08-16,4,0,27,0.743
CUST-10067,2026-08-07,2,2,12,0.433
CUST-10068,2026-08-28,2,1,249,0.764
CUST-10069,2026-08-22,0,2,25,0.68
CUST-10070,2026-08-22,3,2,12,0.777
CUST-10071,2026-09-06,3,0,11,0.231
CUST-10072,2026-08-29,1,0,46,0.668
CUST-10073,2026-09-06,0,0,445,0.92
CUST-10074,2026-08-30,0,2,11,0.552
CUST-10075,2026-08-16,0,1,87,0.344
CUST-10076,2026-09-05,2,1,42,0.232
CUST-10077,2026-07-31,1,2,121,0.634
CUST-10078,2026-08-25,3,0,71,0.287
CUST-10079,2026-08-31,2,1,44,0.522
CUST-10080,2026-08-27,0,0,85,0.768
CUST-10081,2026-08-02,0,1,42,0.475
CUST-10082,2026-08-26,3,2,17,0.795
CUST-10083,2026-08-14,0,1,212,0.53
CUST-10084,2026-08-24,2,2,96,0.515
CUST-10085,2026-08-15,5,0,11,0.621
CUST-10086,2026-09-05,2,0,26,0.705
CUST-10087,2026-09-05,5,1,34,0.62
CUST-10088,2026-09-03,2,1,56,0.623
CUST-10089,2026-09-06,0,0,14,0.441
CUST-10090,2026-08-19,0,7,11,0.386
CUST-10091,2026-09-07,0,2,12,0.674
CUST-10092,2026-09-06,4,0,129,0.581
CUST-10093,2026-09-06,0,0,209,0.5
CUST-10094,2026-08-18,1,2,21,0.729
CUST-10095,2026-08-25,2,5,81,0.807
CUST-10096,2026-08-29,0,1,84,0.429
CUST-10097,2026-07-26,1,3,11,0.384
CUST-10098,2026-09-05,3,3,209,0.757
CUST-10099,2026-08-30,1,0,20,0.88
CUST-10100,2026-08-21,2,0,23,0.604
CUST-10101,2026-09-05,0,1,47,0.559
CUST-10102,2026-09-07,2,0,50,0.513
CUST-10103,2026-09-05,1,0,37,0.897
CUST-10104,2026-09-02,0,1,129,0.616
CUST-10105,2026-09-07,0,1,20,0.801
CUST-10106,2026-09-04,0,2,150,0.821
CUST-10107,2026-08-29,4,0,57,0.879
CUST-10108,2026-09-06,0,6,186,0.269
CUST-10109,2026-08-29,0,1,103,0.393
CUST-10110,2026-09-07,0,0,184,0.668
CUST-10111,2026-09-07,0,0,29,0.883
CUST-10112,2026-08-16,4,2,130,0.691
CUST-10113,2026-09-01,0,0,61,0.415
CUST-10114,2026-09-05,0,1,11,0.856
CUST-10115,2026-08-05,2,1,158,0.543
CUST-10116,2026-09-06,0,1,13,0.531
CUST-10117,2026-09-06,0,0,19,0.872
CUST-10118,2026-09-02,4,1,120,0.38
CUST-10119,2026-08-26,2,3,105,0.317
CUST-10120,2026-09-03,0,0,17,0.475
CUST-10121,2026-09-02,0,0,25,0.558
CUST-10122,2026-09-04,0,3,11,0.326
CUST-10123,2026-09-05,0,0,146,0.572
CUST-10124,2026-08-24,2,0,35,0.911
CUST-10125,2026-08-30,2,1,27,0.652
CUST-10126,2026-08-13,1,2,469,0.571
CUST-10127,2026-09-01,2,2,93,0.53
CUST-10128,2026-09-06,2,1,49,0.562
CUST-10129,2026-09-02,4,2,213,0.229
CUST-10130,2026-08-31,0,2,32,0.687
CUST-10131,2026-08-03,2,0,25,0.691
