customer_id,name,join_date,segment,region,total_orders
CUST-10001,Helios Works,2024-10-22,Growth,North,10
CUST-10002,Northwind Media,2026-02-24,Growth,South,8
CUST-10003,Vanta Labs,2024-12-03,Growth,East,9
CUST-10004,Kodiak Foods,2026-04-02,Growth,West,7
CUST-10005,Nimbus Health,2026-01-14,Starter,Central,8
CUST-10006,Aether Systems,2025-10-01,Enterprise,North,13
CUST-10007,Sable Energy,2024-04-24,Starter,South,2
CUST-10008,Meridian Retail,2026-02-13,Starter,East,4
CUST-10009,Pinnacle Capital,2025-04-26,Enterprise,West,10
CUST-10010,Orion Metals,2026-03-24,Starter,Central,7
CUST-10011,Lumen Motors,2026-05-14,Starter,North,3
CUST-10012,Atlas Logistics,2024-09-15,Enterprise,South,11
CUST-10013,Harbor Works,2024-04-14,Growth,East,4
CUST-10014,Zenith Media,2025-01-01,Enterprise,West,5
CUST-10015,Quanta Labs,2025-12-29,Enterprise,Central,10
CUST-10016,Solace Foods,2024-12-14,Enterprise,North,11
CUST-10017,Vertex Health,2024-07-01,Enterprise,South,11
CUST-10018,Keel Systems,2025-04-19,Growth,East,8
CUST-10019,Helios Energy,2025-11-19,Starter,West,10
CUST-10020,Northwind Retail,2025-12-24,Starter,Central,6
CUST-10021,Vanta Capital,2025-03-22,Starter,North,4
CUST-10022,Kodiak Metals,2024-10-19,Starter,South,5
CUST-10023,Nimbus Motors,2024-12-04,Growth,East,15
CUST-10024,Aether Logistics,2025-10-27,Starter,West,5
CUST-10025,Sable Works,2024-12-29,Enterprise,Central,11
CUST-10026,Meridian Media,2024-04-28,Enterprise,North,13
CUST-10027,Pinnacle Labs,2025-06-08,Enterprise,South,13
CUST-10028,Orion Foods,2024-12-16,Starter,East,2
CUST-10029,Lumen Health,2025-01-18,Enterprise,West,10
CUST-10030,Atlas Systems,2024-06-23,Growth,Central,8
CUST-10031,Harbor Energy,2025-07-11,Growth,North,5
CUST-10032,Zenith Retail,2024-04-10,Enterprise,South,10
CUST-10033,Quanta Capital,2025-09-05,Enterprise,East,8
CUST-10034,Solace Metals,2025-05-06,Growth,West,10
CUST-10035,Vertex Motors,2025-12-17,Enterprise,Central,14
CUST-10036,Keel Logistics,2026-05-08,Starter,North,4
CUST-10037,Helios Works,2024-09-07,Growth,South,16
CUST-10038,Northwind Media,2024-07-10,Starter,East,5
CUST-10039,Vanta Labs,2024-09-17,Growth,West,9
CUST-10040,Kodiak Foods,2025-05-18,Growth,Central,7
CUST-10041,Nimbus Health,2024-09-23,Growth,North,9
