customer_id,order_date,amount,product,quantity
CUST-10001,2024-12-06,3297.51,Servo drive kit,4
CUST-10001,2025-02-10,2307.87,Conveyor bearing 6205,3
CUST-10001,2025-04-26,4193.61,Analytics seat,4
CUST-10001,2025-06-18,2010.86,Fiber 300 plan,2
CUST-10001,2025-12-22,1011.82,Aura bottle 1L,1
CUST-10001,2026-02-06,3019.25,Cold-chain logger,4
CUST-10001,2026-03-17,2182.1,Trade desk seat,3
CUST-10001,2026-03-19,4318.23,Refill pack,4
CUST-10001,2026-05-03,2583.76,Servo drive kit,2
CUST-10001,2026-05-24,1297.0,Conveyor bearing 6205,2
CUST-10002,2026-03-01,3215.18,Conveyor bearing 6205,4
CUST-10002,2026-03-12,549.94,Analytics seat,1
CUST-10002,2026-04-21,622.97,Fiber 300 plan,1
CUST-10002,2026-04-29,1022.81,Aura bottle 1L,1
CUST-10002,2026-05-15,4377.64,Cold-chain logger,4
CUST-10002,2026-06-07,1480.17,Trade desk seat,2
CUST-10002,2026-06-15,3209.5,Refill pack,3
CUST-10002,2026-07-21,3085.05,Servo drive kit,4
CUST-10003,2025-01-22,478.45,Analytics seat,1
CUST-10003,2025-02-02,2039.2,Fiber 300 plan,2
CUST-10003,2025-05-24,2845.41,Aura bottle 1L,4
CUST-10003,2025-09-11,1583.85,Cold-chain logger,3
CUST-10003,2025-09-13,727.63,Trade desk seat,1
CUST-10003,2026-01-05,3800.36,Refill pack,4
CUST-10003,2026-03-14,3068.33,Servo drive kit,2
CUST-10003,2026-04-16,2416.22,Conveyor bearing 6205,3
CUST-10003,2026-06-27,2797.49,Analytics seat,3
CUST-10004,2026-05-14,1176.0,Fiber 300 plan,1
CUST-10004,2026-05-21,766.06,Aura bottle 1L,1
CUST-10004,2026-06-05,2254.3,Cold-chain logger,4
CUST-10004,2026-06-18,1366.11,Trade desk seat,2
CUST-10004,2026-06-21,794.69,Refill pack,1
CUST-10004,2026-08-05,2542.72,Servo drive kit,3
CUST-10004,2026-08-21,3426.7,Conveyor bearing 6205,3
CUST-10005,2026-01-18,1333.22,Aura bottle 1L,1
CUST-10005,2026-02-20,1014.78,Cold-chain logger,2
CUST-10005,2026-03-30,965.0,Trade desk seat,2
CUST-10005,2026-04-08,1423.85,Refill pack,1
CUST-10005,2026-04-16,731.44,Servo drive kit,1
CUST-10005,2026-06-12,3896.98,Conveyor bearing 6205,3
